WKT,id,name,alt_name,latitude,longitude
"POINT (124.09015 0.65557)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
"POINT (121.4900101 -1.5400188)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.5400188,121.4900101
"POINT (120.0021319 -3.7762497)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.7762497,120.0021319
"POINT (121.9366744 -3.9876972)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-3.9876972,121.9366744
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.249094 -2.8815877)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.8815877,119.249094
