WKT,id,name,alt_name,latitude,longitude
"POINT (106.8311194 -6.2576468)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2576468,106.8311194
"POINT (107.6624425 -7.0418965)",32.0,JAWA BARAT,JAWA BARAT,-7.0418965,107.6624425
"POINT (110.1252599 -7.2269441)",33.0,JAWA TENGAH,JAWA TENGAH,-7.2269441,110.1252599
"POINT (110.4135465 -7.919889)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.919889,110.4135465
"POINT (112.2277559 -7.5571508)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5571508,112.2277559
"POINT (106.0606582 -6.4672205)",36.0,BANTEN,BANTEN,-6.4672205,106.0606582
"POINT (115.1828182 -8.4259193)",51.0,BALI,BALI,-8.4259193,115.1828182
