WKT,id,name,alt_name,latitude,longitude
"POINT (117.3348331 -8.6652816)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.6652816,117.3348331
"POINT (121.021955 -8.6634625)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.6634625,121.021955
"POINT (130.101939 -3.2834059)",81.0,MALUKU,MALUKU,-3.2834059,130.101939
"POINT (127.7413104 1.4319376)",82.0,MALUKU UTARA,MALUKU UTARA,1.4319376,127.7413104
"POINT (132.90253 -1.38424)",91.0,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
"POINT (138.2935997 -4.2187411)",94.0,PAPUA,PAPUA,-4.2187411,138.2935997
