WKT,id,name,alt_name,latitude,longitude
"POINT (111.4923978 -0.0553357)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.0553357,111.4923978
"POINT (113.3452632 -1.7741419)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.7741419,113.3452632
"POINT (115.2767738 -3.0312646)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.0312646,115.2767738
"POINT (116.3958061 0.3929689)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.3929689,116.3958061
"POINT (116.0320881 3.0331069)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,3.0331069,116.0320881
